timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718115021953,374,AdminLogin,200,OK,Thread Group 1-7,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,361,0,37
1718115021650,819,AdminLogin,200,OK,Thread Group 1-4,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,818,0,477
1718115021750,758,AdminLogin,200,OK,Thread Group 1-5,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,564,0,187
1718115021444,1065,AdminLogin,200,OK,Thread Group 1-1,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,871,0,493
1718115022248,397,AdminLogin,200,OK,Thread Group 1-10,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,386,0,60
1718115021458,1390,AdminLogin,200,OK,Thread Group 1-2,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,1389,0,1069
1718115021850,1044,AdminLogin,200,OK,Thread Group 1-6,text,true,,4912,469,10,10,https://demo.opencart.com/admin/,1043,0,721
1718115022048,1080,AdminLogin,200,OK,Thread Group 1-8,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,1079,0,688
1718115021555,2815,AdminLogin,200,OK,Thread Group 1-3,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,2814,0,2388
1718115022148,3556,AdminLogin,200,OK,Thread Group 1-9,text,true,,4907,469,10,10,https://demo.opencart.com/admin/,3555,0,691
1718115035166,329,Dashbord,200,OK,Thread Group 1-7,text,true,,5161,592,10,10,https://demo.opencart.com/admin/index.php?route=common%2Fdashboard&user_token=2a2d661c145c48a8cecb45233c14387b,328,0,0
1718115035292,391,Dashbord,200,OK,Thread Group 1-4,text,true,,5166,592,10,10,https://demo.opencart.com/admin/index.php?route=common%2Fdashboard&user_token=2a2d661c145c48a8cecb45233c14387b,389,0,0
1718115035333,350,Dashbord,200,OK,Thread Group 1-1,text,true,,5161,592,10,10,https://demo.opencart.com/admin/index.php?route=common%2Fdashboard&user_token=2a2d661c145c48a8cecb45233c14387b,348,0,0
1718115035332,351,Dashbord,200,OK,Thread Group 1-5,text,true,,5161,592,10,10,https://demo.opencart.com/admin/index.php?route=common%2Fdashboard&user_token=2a2d661c145c48a8cecb45233c14387b,349,0,0
